year,working_age_15_64,older_65_plus,old_age_dependency
2024,35431819,5320804,0.150170218
2025,35806629,5504163,0.153719106
2026,36095650,5694806,0.157769870
2027,36353526,5893672,0.162121055
2028,36586150,6099314,0.166711009
2029,36799239,6308274,0.171424034
2030,36997941,6517497,0.176158371
2031,37183532,6725356,0.180869208
2032,37357793,6930363,0.185513181
2033,37520693,7131095,0.190057657
2034,37670286,7327099,0.194506062
2035,37813867,7517765,0.198809738
2036,37945604,7700214,0.202927696
2037,38068009,7874491,0.206853240
2038,38179645,8043031,0.210662802
2039,38278450,8207482,0.214415213
2040,38360464,8370119,0.218196500
2041,38418889,8536496,0.222195285
2042,38448911,8711618,0.226576456
2043,38449836,8895823,0.231361793
2044,38421165,9089339,0.236571145
2045,38363483,9291431,0.242194667
2046,38281936,9496902,0.248077892
2047,38180185,9702174,0.254115427
2048,38059584,9906064,0.260277779
2049,37922930,10106052,0.266489219
2050,37770667,10302006,0.272751498
2051,37598915,10498217,0.279215956
2052,37406129,10696644,0.285959662
2053,37190353,10899696,0.293078584
2054,36948042,11111393,0.300730225
2055,36678039,11333358,0.308995745
2056,36380707,11565666,0.317906576
2057,36056266,11808485,0.327501605
2058,35705929,12060943,0.337785442
2059,35333370,12319662,0.348669317
2060,34945150,12578297,0.359943998
2061,34546637,12831677,0.371430568
2062,34138428,13079356,0.383127073
2063,33719347,13322627,0.395103351
2064,33292188,13558822,0.407267375
2065,32857884,13787096,0.419597805
2066,32417326,14006605,0.432071572
2067,31975776,14212180,0.444467087
2068,31532255,14404822,0.456828159
2069,31085203,14586164,0.469231743
2070,30633577,14757304,0.481736233
