"parameter","symbol","value","status"
"Formal capital share","alpha",0.33,"Standard / provisional"
"Annual depreciation","delta",0.06,"Standard / provisional"
"Annual discount factor","beta",0.961538461538461,"Standard / provisional"
"CES elasticity","eta",1.5,"Standard / provisional"
"Informal VAT coverage","xi_I",0.15,"Standard / provisional"
"Choice scale","mu",0.3,"Standard / provisional"
"Old-age outlay per older adult","g_bar_o",0.426382972383674,"Calibrated to spending target"
"Formal-work fixed cost","kappa",0.632833152748028,"Calibrated to informality target"
"Real-resource share of social-security outlays","zeta",0.25,"Provisional"
"Real bond rate","r_b",0.04,"Provisional"
"Trend output growth","gamma",0.01,"Provisional"
"Debt anchor","q_bar",0.55,"Law 2155 of 2021"
"Common collection-cost coefficient","chi",2,"Provisional"
