"year","dependency_ratio","capital","labor_formal","informality","price_informal","nominal_output","wage_formal","wage_informal","rental_rate","social_security","social_security_share","public_absorption","collection_cost","collection_cost_share","consumption_formal","consumption_informal","composite_consumption","consumption_price_index","primary_surplus_ratio","required_revenue","revenue_share","tax_consumption","tax_payroll","tax_capital","mix_consumption","mix_payroll","mix_capital","flow_utility","lifetime_welfare","objective","policy"
2024,0.150170218,2.39934650485775,0.445999702859279,0.554000297140721,1.04157798352844,1.12333490270836,1.16741447921132,0.624946790117067,0.10688230479645,0.0640300239143443,0.0569999416558391,0.0160075059785861,0.00474509572445758,0.00422411492157605,0.612400539864145,0.332400178284433,0.944796136728557,1.05395807729291,0.0165,0.0825650498090323,0.0734999416558391,0.0559271273388523,0.0555014905537836,0.0643913396901039,0.45,0.35,0.2,-0.0584293914056326,-1.51916417654645,1.28466003284164e-13,"Reference mix"
2025,0.153719106,2.39188270012045,0.445524242323877,0.554475757676123,1.04026300554095,1.12184139805871,1.16662537930592,0.624157803324572,0.107029136063776,0.0655432093284411,0.0584246663047558,0.0163858023321103,0.00492738687971379,0.00439223127996557,0.610934584846778,0.332685454605674,0.943610974615795,1.05428942551043,0.0165,0.0840535923964099,0.0749246663047558,0.0570631489522606,0.0566006688994987,0.0656665769050461,0.45,0.35,0.2,-0.0597587638350272,-1.5537278597107,8.89400822202534e-13,"Reference mix"
2026,0.15776987,2.38341606699022,0.444981844741727,0.555018155258272,1.03876109077408,1.12014037087374,1.1657295378322,0.623256654464448,0.10719619439697,0.0672703861231859,0.0600553179515466,0.0168175965307965,0.00514011821179536,0.00458881613898615,0.609258676252712,0.333010893154963,0.942253521342467,1.05466960681593,0.0165,0.0857527022426026,0.0765553179515466,0.0583663629622563,0.0578596451316887,0.0671272073389288,0.45,0.35,0.2,-0.0612855005044286,-1.59342301311514,2.72429870934843e-13,"Reference mix"
2027,0.162121055,2.37428971229063,0.444397478239278,0.555602521760721,1.03713647297454,1.1183029291256,1.16475961422534,0.622281883784723,0.107377506886529,0.0691256573168771,0.0618129985324516,0.0172814143292193,0.0053742434178233,0.00480571344119201,0.607448318969208,0.333361513056433,0.940784013085343,1.05507707835308,0.0165,0.0875776556474496,0.0783129985324516,0.0597745724190139,0.0592179637832522,0.0687030921814354,0.45,0.35,0.2,-0.0629432325496855,-1.63652404629182,1.69349067155541e-13,"Reference mix"
2028,0.166711009,2.36464914887472,0.443779494125858,0.556220505874142,1.035412418659,1.11635652370814,1.16373107537377,0.621247451195401,0.10757027710616,0.0710827355465015,0.0636738658635594,0.0177706838866254,0.00562756485213656,0.00504101040538895,0.605528695525449,0.333732303524485,0.93922229058106,1.0555067263933,0.0165,0.0895026181876857,0.0801738658635594,0.061269471343273,0.0606574182827662,0.0703731086570621,0.45,0.35,0.2,-0.0647106760864242,-1.68247757824703,6.95693437373053e-14,"Reference mix"
2029,0.171424034,2.35471810225611,0.443143052111804,0.556856947888196,1.03362880856787,1.11434639577477,1.16266646292033,0.62017728514072,0.107770352812944,0.07309228915492,0.0655920721169482,0.01827307228873,0.00589453075138324,0.00528967543102695,0.603545457223279,0.334114168732917,0.937604866696933,1.05594699286548,0.0165,0.0914790046852037,0.0820920721169482,0.0628148014661588,0.0621427381159232,0.0720963368617637,0.45,0.35,0.2,-0.0665473650140886,-1.7302314903663,3.21299143100573e-13,"Reference mix"
2030,0.176158371,2.34472625090045,0.442502029425623,0.557497970574377,1.03182546487174,1.11231793931118,1.16159082420299,0.619095278923043,0.107973065320602,0.0751109298372461,0.0675264932648299,0.0187777324593115,0.00616974968389993,0.00554675013847266,0.60154220651384,0.334498782344626,0.935967192578355,1.05638900067428,0.0165,0.0934641758358806,0.0840264932648299,0.0643777541742267,0.0636421416019651,0.0738359045425396,0.45,0.35,0.2,-0.0684135169794258,-1.77875144146507,7.24912317245182e-13,"Reference mix"
2031,0.180869208,2.33477792260653,0.44186268181257,0.55813731818743,1.03002050980832,1.11029183093967,1.16051571688976,0.618012305884993,0.108176246884191,0.077119550519721,0.0694588110717275,0.0192798876299303,0.00645067081042268,0.00580988766256462,0.599538683394911,0.334882390912458,0.934325396239703,1.05682895162754,0.0165,0.0954393657302256,0.0859588110717276,0.0659436458720914,0.0651414225192191,0.0755753300222975,0.45,0.35,0.2,-0.070290932928305,-1.82756425613593,6.452230614141e-13,"Reference mix"
2032,0.185513181,2.3249309963295,0.44123018536581,0.55876981463419,1.0282269088725,1.10828151117101,1.15944620614037,0.616936145323502,0.108378937503207,0.0790996615311306,0.0713714527706539,0.0197749153827826,0.00673459382705421,0.00607660938053405,0.597550624103177,0.335261888780514,0.932692311535928,1.05726159139481,0.0165,0.0973863064654522,0.0878714527706539,0.0674981935801645,0.0666269786508241,0.0772988323741162,0.45,0.35,0.2,-0.0721649440352217,-1.87628854491576,1.82930940936423e-12,"Reference mix"
2033,0.190057657,2.31528222966723,0.440609683559329,0.559390316440671,1.0264607243733,1.10630573034714,1.15839392149124,0.615876434623979,0.108578917199788,0.0810373487159368,0.073250410345889,0.0202593371789842,0.00701919827092658,0.00634471835260588,0.595594757284819,0.335634189864403,0.931081884380238,1.05768484429594,0.0165,0.0992913932666647,0.089750410345889,0.0690299027602258,0.0680878062219477,0.0789936453137748,0.45,0.35,0.2,-0.0740193926827779,-1.92450420975222,3.30898126194548e-12,"Reference mix"
2034,0.194506062,2.30585871886465,0.440001580976796,0.559998419023204,1.02472495875285,1.10436880270927,1.15736326500679,0.614834975251712,0.10877532096337,0.0829340728622032,0.0750963560893308,0.0207335182155508,0.00730430214035123,0.00661400622910762,0.593672644806633,0.335999051413922,0.929495590043831,1.05810026490765,0.0165,0.101156158106906,0.0915963560893308,0.0705392166654932,0.0695242704509379,0.0806601925577981,0.45,0.35,0.2,-0.0758523340092925,-1.9721606842416,2.11150243393043e-12,"Reference mix"
2035,0.198809738,2.29673882942909,0.439412032734797,0.560587967265203,1.02303653963132,1.10248845645561,1.15636221666139,0.613821923778795,0.108966590599659,0.0847690870272595,0.0768888658478871,0.0211922717568149,0.00758633566865367,0.00688110213239146,0.591804163262109,0.336352780359122,0.927950088002699,1.0585024199326,0.0165,0.102960146558777,0.0933888658478871,0.0720091284228702,0.070920429676673,0.0822799790188241,0.45,0.35,0.2,-0.077644167427561,-2.01874835311658,6.90529636813997e-13,"Reference mix"
2036,0.202927696,2.28797150129257,0.438845946115649,0.561154053884351,1.02140815114505,1.10067718203898,1.15539508096287,0.61284489068703,0.109151857723768,0.0865249141994506,0.0786106186367607,0.0216312285498627,0.00786199422605647,0.00714287018423722,0.590004976975025,0.336692432330611,0.926458599647886,1.0588860761027,0.0165,0.104686087703094,0.0951106186367607,0.0734249860637605,0.0722627373829709,0.0838372883923645,0.45,0.35,0.2,-0.0793790465975106,-2.06385521153527,8.42700282613657e-13,"Reference mix"
2037,0.20685324,2.27960573537066,0.438305086002672,0.561694913997328,1.01984749642974,1.09894413947023,1.15446898195331,0.611908497857844,0.109329704738942,0.0881986993183936,0.0802576729340506,0.0220496748295984,0.00813007216724422,0.00739807591236028,0.588281905253578,0.337016948398397,0.925027280288928,1.05925186439352,0.0165,0.106331277619652,0.0967576729340506,0.0747831337219968,0.0735479034855496,0.0853283036109406,0.45,0.35,0.2,-0.0810491985573167,-2.10727916249023,6.83367899915447e-13,"Reference mix"
2038,0.210662802,2.27140394638001,0.437777250767468,0.562222749232532,1.01831653610134,1.09724413374568,1.15355523447808,0.610989921660804,0.109505604000709,0.0898230316874335,0.0818623940879985,0.0224557579218584,0.0083952864900747,0.00765124755000109,0.586596269859033,0.337333649539519,0.923624246736625,1.05960417212826,0.0165,0.107927559894237,0.0983623940879985,0.0761097651805469,0.074801243710197,0.086782395300142,0.45,0.35,0.2,-0.0826913688474811,-2.1499755900345,5.58349380561389e-12,"Reference mix"
2039,0.214415213,2.26344727046916,0.437259453645827,0.562740546354173,1.01681528155621,1.09558455463009,1.15267026519809,0.610089168933725,0.109676366321447,0.0914229958432186,0.0834467731923133,0.0228557489608047,0.00866124673328289,0.00790559404719543,0.584938508049133,0.337644327812504,0.922241652314482,1.05995590341641,0.0165,0.109500140994615,0.0999467731923133,0.0774233417103861,0.0760393550984753,0.0882188189021272,0.45,0.35,0.2,-0.0843145042195548,-2.19217710970842,8.25405035107366e-13,"Reference mix"
2040,0.2181965,2.25532831720354,0.436734268151463,0.563265731848537,1.01528418359578,1.09389121800238,1.15176089371307,0.609170510157468,0.109852251615381,0.0930352722337144,0.0850498392368589,0.0232588180584286,0.00893424283003667,0.00816739606553566,0.583253326123759,0.337959439109122,0.920833470964841,1.06030704240579,0.0165,0.111084477330754,0.101549839236859,0.0787557549624896,0.0772932950170093,0.0896736063400801,0.45,0.35,0.2,-0.0859726883648231,-2.2352898974854,1.94758802588807e-12,"Reference mix"
2041,0.222195285,2.24672562306914,0.436177476353217,0.563822523646783,1.01365539318928,1.09209253688364,1.1507936257197,0.60819323591357,0.110039797355601,0.0947402860679376,0.0867511523687225,0.0236850715169844,0.00922835077389319,0.00845015459974379,0.581462297129649,0.33829351418807,0.919333787540886,1.06067814682696,0.0165,0.112759812926518,0.103251152368722,0.0801737646303594,0.0786251900058171,0.091218835158264,0.45,0.35,0.2,-0.0877442051541328,-2.28134933400745,4.16637918983708e-12,"Reference mix"
2042,0.226576456,2.23731731863948,0.435566682298982,0.564433317701018,1.01186359382153,1.09011837580341,1.1497326654229,0.607118156292917,0.110246059397354,0.0966083427814388,0.0886218826558526,0.0241520856953597,0.00955698397605013,0.00876692310503129,0.579492350864242,0.338659990620611,0.917680668475533,1.06108582505803,0.0165,0.114595295982195,0.105121882655853,0.0817377919688284,0.0800909255728254,0.0929193422230182,0.45,0.35,0.2,-0.0897036783625582,-2.33229563742651,4.02741865168135e-12,"Reference mix"
2043,0.231361793,2.22714823732959,0.434900762157377,0.565099237842623,1.00990778435583,1.0879720466521,1.14858531138964,0.6059446706135,0.110469767419924,0.0986487289953564,0.0906721172652525,0.0246621822488391,0.00992355135043452,0.00912114551193771,0.577338352185031,0.339059542705573,0.915868751228629,1.06153566535989,0.0165,0.116600267765116,0.107172117265252,0.0834579636878607,0.0816985155072422,0.0947844249174931,0.45,0.35,0.2,-0.0918595035134777,-2.38834709135042,1.10654534877747e-12,"Reference mix"
2044,0.236571145,2.21585672583287,0.434168665541763,0.565831334458237,1.00773996236217,1.08559048899635,1.14729805808187,0.604643977417303,0.110721560047572,0.100869907985309,0.0929170889094332,0.0252174769963273,0.0103321411433484,0.00951753101015157,0.574962660544728,0.339498800674942,0.913865071100646,1.06201798036134,0.0165,0.118782151053749,0.109417088909433,0.085348132262277,0.0834611750581918,0.0968294152190277,0.45,0.35,0.2,-0.0942534424645587,-2.45058950407852,3.54003372717915e-13,"Reference mix"
2045,0.242194667,2.20371078227129,0.43337741070429,0.56662258929571,1.00538904705428,1.08301593988364,1.14590852483111,0.603233428232569,0.110994321669287,0.103267682010934,0.0953519502418673,0.0258169205027335,0.0107841638064494,0.00995753008733004,0.572386227975602,0.339973553577426,0.911685875607091,1.06254115722037,0.0165,0.121137445019014,0.111851950241867,0.0874067687457224,0.0853749049195861,0.0990496732400393,0.45,0.35,0.2,-0.0968690277603572,-2.51859472176928,2.8393923616831e-13,"Reference mix"
