"parameter","symbol","value","status"
"Capital share in formal production","alpha",0.33,"Standard / provisional"
"Annual depreciation","delta",0.06,"Standard / provisional"
"Annual discount factor","beta",0.96,"Standard / provisional"
"CRRA coefficient","sigma",2,"Standard / provisional"
"Informal productivity","A_I",0.6,"Standard / provisional"
"Discrete-choice scale","mu",0.3,"Standard / provisional"
"Benchmark informality","ell_I",0.554,"DANE target"
"Benchmark government consumption / GDP","G/Y",0.1472,"World Bank target"
"Baseline payroll-financed share of G","lambda_0",0.5,"Provisional policy split"
"Permanent increase in G / initial GDP","Delta G/Y_0",0.02,"Policy experiment"
