"i","choice","formal","wage","labor_taxes","voluntary_saving","consumption_young","consumption_old","decision_utility","experienced_utility","funded_contribution","funded_public_contribution","payg_contribution","payg_notional_contribution","funded_benefit","payg_benefit","eligibility_probability","eligible_payg_benefit","refund_benefit","utility_informal","utility_capitalization","utility_payg","utility_difference_formal_informal","utility_difference_payg_capitalization"
0,"informal",FALSE,0.0982610887283228,0,0.00737385450592049,0.0749178225654013,0.0958210879003775,-33.9696707492375,-37.44361275427,0,0,0,0,0,0,0,0,0,-33.9696707492375,-115.729194984236,-132.120529816133,-81.7595242349989,-16.3913348318965
0.002,"informal",FALSE,0.0988326589944177,0,0.00741674713042363,0.0753536084938205,0.0963784650413956,-33.675416475815,-37.1192662762998,0,0,0,0,0,0,0,0,0,-33.675416475815,-114.129404960666,-130.294024219851,-80.4539884848509,-16.1646192591854
0.004,"informal",FALSE,0.0994075540004814,0,0.00745988925499967,0.0757919293247357,0.0969390843630666,-33.3837111107427,-36.7977293733155,0,0,0,0,0,0,0,0,0,-33.3837111107427,-112.551729738117,-128.492766726889,-79.1680186273747,-15.9410369887714
0.006,"informal",FALSE,0.0999857930860363,0,0.00750328233095375,0.0762327998033008,0.0975029647246773,-33.0945325747024,-36.4789777080352,0,0,0,0,0,0,0,0,0,-33.0945325747024,-110.995863611207,-126.71640831627,-77.9013310365042,-15.7205447050632
0.008,"informal",FALSE,0.1005673957031,0,0.00754692781803303,0.0766762347604403,0.0980701250952163,-32.8078589796324,-36.1629871539933,0,0,0,0,0,0,0,0,0,-32.8078589796324,-109.461505100487,-124.964604791762,-76.6536461208545,-15.5030996912754
0.01,"informal",FALSE,0.101152381416839,0,0.00759082718447582,0.0771222491133481,0.098640584554012,-32.5236686270717,-35.8497337937138,0,0,0,0,0,0,0,0,0,-32.5236686270717,-107.948356894033,-123.237016715184,-75.4246882669612,-15.2886598211513
0.012,"informal",FALSE,0.101740769906227,0,0.00763498190706094,0.077570857865989,0.0992143622913742,-32.2419400065166,-35.5391939169004,0,0,0,0,0,0,0,0,0,-32.2419400065166,-106.456125789829,-121.533309340631,-74.2141857833129,-15.0771835508015
0.014,"informal",FALSE,0.10233258096471,0,0.00767939347115742,0.0780220761096038,0.0997914776092403,-31.9626517937934,-35.2313440186416,0,0,0,0,0,0,0,0,0,-31.9626517937934,-104.984522638959,-119.853152549612,-73.0218708451653,-14.8686299106535
0.016,"informal",FALSE,0.102927834500867,0,0.00772406337077448,0.0784759190232167,0.100371949921824,-31.685782849444,-34.9261607976316,0,0,0,0,0,0,0,0,0,-31.685782849444,-103.533262289572,-118.196220787086,-71.8474794401276,-14.6629584975147
0.018,"informal",FALSE,0.103526550539083,0,0.00776899310861174,0.0789324018741462,0.100955798756268,-31.4113122171257,-34.6236211544066,0,0,0,0,0,0,0,0,0,-31.4113122171257,-102.102063531634,-116.562192998377,-70.6907513145082,-14.4601294667433
0.02,"informal",FALSE,0.104128749220223,0,0.00781418419610982,0.0793915400185184,0.101543043753304,-31.1392191220255,-34.3237021895967,0,0,0,0,0,0,0,0,0,-31.1392191220255,-100.690649042437,-114.950752566965,-69.5514299204114,-14.2601035245285
0.022,"informal",FALSE,0.104734450802306,0,0.00785963815350117,0.0798533489017837,0.102133704667907,-30.8694829692869,-34.0263812021921,0,0,0,0,0,0,0,0,0,-30.8694829692869,-99.2987453328598,-113.361587253137,-68.4292623635729,-14.0628419202769
0.024,"informal",FALSE,0.10534367566119,0,0.0079053565098612,0.0803178440592367,0.102727801369966,-30.6020833424519,-33.7316356878256,0,0,0,0,0,0,0,0,0,-30.6020833424519,-97.9260826943768,-111.794389133482,-67.323999351925,-13.868306439105
0.026,"informal",FALSE,0.105956444291259,0,0.00795134080315973,0.0807850411165381,0.103325353844952,-30.3370000019149,-33.4394433370682,0,0,0,0,0,0,0,0,0,-30.3370000019149,-96.5723951467952,-110.248854541229,-66.2353951448803,-13.6764593944341
0.028,"informal",FALSE,0.106572777306105,0,0.00799759258031272,0.081254955790241,0.103926382194584,-30.0742128833915,-33.1497820337416,0,0,0,0,0,0,0,0,0,-30.0742128833915,-95.2374203867168,-108.724684007406,-65.1632075033253,-13.4872636206892
0.03,"informal",FALSE,0.10719269543923,0,0.00804411339723432,0.0817276038883194,0.104530906637515,-29.8137020963991,-32.8626298532432,0,0,0,0,0,0,0,0,0,-29.8137020963991,-93.9208997367114,-107.221582202809,-64.1071976403123,-13.3006824660973
0.032,"informal",FALSE,0.107816219544739,0,0.0080909048188892,0.0822030013106999,0.105138947510003,-29.555447922752,-32.5779650608877,0,0,0,0,0,0,0,0,0,-29.555447922752,-92.6225780951928,-105.73925788078,-63.0671301724409,-13.1166797855867
