outcome,dual_assignment,matched_pillars,expanded_pillars
capital_stock,0.03428881241,0.03245007348,0.0303879
informal_worker_share,0.5635807719,0.6252390045,0.77138
effective_formal_labor,8.383576496,7.740612944,5.84094
effective_informal_labor,1.628649062,1.895519221,2.62083
consumption_tax_rate,0.1697958819,0.2225512286,0.45209
period_net_return,7.3711463968,7.2624132,6.376
annualized_net_return,0.05455594278,0.05421258062,0.0512398
formal_wage_index,0.05911367680,0.05970007284,0.0650858
young_consumption,0.4622951047,0.4552201141,0.430325
old_age_consumption,0.2666446992,0.2394299701,0.185187
voluntary_capital,0.01088950648,0.01108149903,0.0207555
funded_pension_capital,0.02339930638,0.02136857397,0.00963247
payg_receipts,0.01592983681,0.01573996181,0.0285766
payg_benefits,0.02488319892,0.02458660471,0.0446381
decision_utility,-4.141244654,-4.183446282,-4.30572
experienced_welfare,-4.556294705,-4.627644965,-4.80866
max_equilibrium_residual,0.000000090,0.0000000932,
