"cohort","life_stage","policy","mean_wage","wage_p10","wage_p50","wage_p90","wage_gini","aggregate_welfare_cev","mean_individual_welfare_cev","welfare_p10","welfare_p50","welfare_p90","winner_share","loser_share","informal_share","funded_only_share","payg_only_share","mixed_share","reported"
-1,"old_at_reform","Fully funded system",0.6268392897088,0.213261642160366,0.392101125146596,1.28412014265052,0.405242841157195,0.26374948639372,0.183865856555289,0.123919331119231,0.123919331119232,0.538850095868148,1,0,0.52218421191703,0.443840503630011,0.0339752844529594,0,TRUE
0,"young_lifetime","Law 100",0.6268392897088,0.213261642160366,0.392101125146596,1.28412014265052,0.405242841157195,0,0,0,0,0,0,0,0.52218421191703,0.443840503630011,0.0339752844529594,0,TRUE
1,"young_lifetime","Fully funded system",0.608935875819611,0.197481123054592,0.470431488512085,1.24644444628433,0.408948897236581,0.0266539747502699,0.0379927557333456,-0.00693375417675735,0.0634246223528461,0.0637663793077672,0.672224483799508,0.327775516200492,0.449425795302827,0.550574204697173,0,0,TRUE
2,"young_lifetime","Fully funded system",0.687168712210718,0.187672003891861,0.528696735194049,1.40082270307965,0.411736244220495,0.0901657155360489,0.168911402016657,-0.0171383818374837,0.251374098117057,0.252377921132604,0.891187986494142,0.108812013505858,0.230462292608193,0.769537707391807,0,0,TRUE
3,"young_lifetime","Fully funded system",0.728652724137578,0.18150232533399,0.55959270902545,1.48268396435809,0.410569792826153,0.144741228587222,0.261899736054652,0.0351601311647685,0.366165100912091,0.367261006583621,0.973346632627165,0.0266533673728348,0.14830364647517,0.85169635352483,0,0,TRUE
4,"young_lifetime","Fully funded system",0.74840926930675,0.177536774198852,0.574578846626879,1.5223908896824,0.410367651069766,0.179867408409725,0.317671636574714,0.0465760608036947,0.43227784572729,0.433426785495471,1,0,0.121650279102335,0.878349720897665,0,0,TRUE
5,"young_lifetime","Fully funded system",0.756660664157506,0.174933978291558,0.581284096962183,1.54015696666807,0.411182111829664,0.198035436567543,0.348858962645556,0.0468018044954428,0.469758957612007,0.47093796385097,1,0,0.121650279102335,0.878349720897665,0,0,TRUE
6,"young_lifetime","Fully funded system",0.759092597319954,0.173196003508773,0.58333918777456,1.54560208799232,0.411591620852813,0.207372989512745,0.365137578932022,0.047031240389606,0.489309275962172,0.490503965008979,1,0,0.121650279102335,0.878349720897665,0,0,TRUE
7,"young_lifetime","Fully funded system",0.760752236235845,0.172020112416691,0.58423148567529,1.54796629997633,0.410837422956523,0.215031677304381,0.375983359983011,0.0588014461196662,0.501521449507692,0.502725934874315,1,0,0.109640779519781,0.890359220480219,0,0,TRUE
8,"young_lifetime","Fully funded system",0.761168239113775,0.171216732069045,0.584614881567015,1.54898213690825,0.410978623312655,0.218943495743448,0.382614328845053,0.0590045150785401,0.509396439453082,0.510607241952341,1,0,0.109640779519781,0.890359220480219,0,0,TRUE
9,"young_lifetime","Fully funded system",0.761325942994751,0.170663965055771,0.584777903022947,1.5494140748064,0.411071155436433,0.221525734335738,0.387001752197917,0.0591509792389209,0.514605583218111,0.515820564370588,1,0,0.109640779519781,0.890359220480219,0,0,TRUE
10,"young_lifetime","Fully funded system",0.761378502899452,0.170281704825943,0.584846339937735,1.54959540368094,0.411133135262379,0.223264121258442,0.389959461000809,0.059255322908776,0.518116563168361,0.519334360746787,1,0,0.109640779519781,0.890359220480219,0,0,TRUE
11,"young_lifetime","Fully funded system",0.761956275897826,0.220742646050821,0.584874635195865,1.54967037414574,0.41028197197324,0.226082977904451,0.392527343996413,0.0746522728679713,0.520514295071605,0.521734016054449,1,0,0.0984870874014899,0.90151291259851,0,0,TRUE
12,"young_lifetime","Fully funded system",0.761956379173328,0.22074701492953,0.584886210876357,1.54970104480239,0.410307586433908,0.226938719363269,0.393932370403634,0.0758200445546104,0.52216656305423,0.523387609447781,1,0,0.0984870874014899,0.90151291259851,0,0,TRUE
13,"young_lifetime","Fully funded system",0.761952292532043,0.220748833337706,0.584891028888812,1.54971381049732,0.4103253105114,0.227531691772376,0.394906484411508,0.076629637517561,0.523312047695574,0.524534012970097,1,0,0.0984870874014899,0.90151291259851,0,0,TRUE
14,"young_lifetime","Fully funded system",0.761947972034554,0.220749668717083,0.584893242290786,1.54971967507625,0.410337631509353,0.227944248045728,0.395584514160995,0.0771931437859827,0.524109346838869,0.525331951688105,1,0,0.0984870874014899,0.90151291259851,0,0,TRUE
15,"young_lifetime","Fully funded system",0.761944614588074,0.220750150966578,0.584894520047949,1.54972306059223,0.410346220805156,0.228231968808379,0.396057563315993,0.0775862929260704,0.524665609457663,0.525888660527754,1,0,0.0984870874014899,0.90151291259851,0,0,TRUE
