"cohort","capital","public_debt","output","debt_to_output","formal_labor","informal_labor","consumption_tax","interest_rate","formal_wage","informal_wage","consumption_young","consumption_old","informal_share","formal_share","solidarity_beneficiary_share","funded_only_share","payg_only_share","mixed_share","payg_contributions","payg_benefits","decision_welfare","primary_balance","primary_deficit","debt_identity_residual","rule_primary_balance","fiscal_adjustment","fiscal_rule_residual","experienced_welfare","budget_residual","payg_balance","reported","phase"
0,0.0293158462385595,0.0139511834503915,1.0146314217695,0.550000055234276,8.68560315093979,1.49887048180882,0.221369700548944,8.27156015235323,0.0547418800941462,0.100335520900096,0.390599286672786,0.263664762516409,0.531824957964062,0.468175042035938,0,0.433730500163709,0.034444541872229,0,0.0143400133688203,0.0502284531013992,-5.46629412590954,0.00202926304732967,-0.00202926304732967,0,0.00202926304732967,0,0,-5.97437001407112,0.00202949514906176,-0.0358884397325789,TRUE,"Law 100 benchmark"
1,0.0293158462385595,0.0139511834503915,1.03071178295357,0.541419383425052,9.35689618640436,1.19888317511946,0.130993167293923,8.64941090659853,0.0531357698989706,0.0929110886931958,0.404621925716379,0.298332482147399,0.453434846969466,0.546565153030534,0.126168335300154,0.546565153030534,0,0,0,0.0502284577062766,-5.27040321340732,-0.00612120352176537,0.00612120352176537,0,-0.00612120352176538,0.0556080828835762,8.32667268468867e-17,-5.73942345316858,-0.0617292864053415,-0.0502284577062766,TRUE,"first reform cohort"
2,0.0451542988798302,0.0180955307609679,1.24626465714357,0.580792551798514,10.7634839378502,0.500136281915326,0.0748154092448496,7.25974159012659,0.0597168955599925,0.0882960858694644,0.465654745500424,0.351037074861048,0.234503063724052,0.765496936275948,0.126168740718894,0.765496936275948,0,0,0,0,-4.86096164115595,0.000594460559321566,-0.000594460559321566,0,0.000594460559321563,-0.0380815597507292,2.62290189567693e-15,-5.24553430654415,0.0386760203100508,0,TRUE,"transition"
3,0.0539414681030303,0.019131617588612,1.34482814705097,0.569042747374528,11.1561149109747,0.276199979815799,0.0394810735604054,6.66688607736786,0.0632066308272944,0.0853933701929873,0.506477334101022,0.402027814127069,0.146509040880773,0.853490959119227,0.12616898017206,0.853490959119227,0,0,0,0,-4.54174738303053,0.0022733765795933,-0.0022733765795933,0,0.0022733765795933,-0.0439138359079328,4.12517242587285e-14,-4.87099369064025,0.0461872124875261,0,TRUE,"transition"
4,0.0580226089751304,0.019390639295523,1.38575113105345,0.559714911602696,11.2329417043331,0.229538715263496,0.0167699851838419,6.40776617130536,0.0648993320573553,0.0835276542828526,0.530647376545292,0.426994368200093,0.126168950608045,0.873831049391955,0.126168950608045,0.873831049391955,0,0,0,0,-4.34940992053578,0.00269310558466123,-0.00269310558466123,0,0.00269310558466123,-0.035960897547081,4.42101216746593e-13,-4.66173971822764,0.0386540031317422,0,TRUE,"transition"
5,0.0597517805113938,0.0194553947222507,1.40199605558863,0.555077017362433,11.236992281977,0.227041034293668,0.00186352556139037,6.29721386369853,0.0656566976836628,0.0823030886248682,0.544352275978846,0.439507114092452,0.125054096384781,0.874945903615219,0.125054096384781,0.874945903615219,0,0,0,0,-4.24742542803159,0.00279803783592822,-0.00279803783592822,0,0.00279803783592821,-0.0262102577427753,3.55636830748352e-12,-4.55711477223499,0.0290082955787035,0,TRUE,"transition"
6,0.0604481513590649,0.0194715835789327,1.40914382103452,0.552720972501947,11.2680944173775,0.207742650804522,-0.00809002125794933,6.26396577603376,0.0658888225205297,0.0814854047536595,0.551501194417097,0.446976681812731,0.11633925928609,0.88366074071391,0.11633925928609,0.88366074071391,0,0,0,0,-4.19536259006955,0.00282427089874496,-0.00282427089874496,0,0.00282427089874496,-0.0187661840818024,2.27868279800703e-11,-4.49775281076214,0.0215904549805473,0,TRUE,"transition"
7,0.0607756514778492,0.0194756307931032,1.41256201197381,0.551498075922042,11.2859354481021,0.19655988377208,-0.0148244613404027,6.24962080586501,0.0659896085799079,0.0809321705008859,0.555973254814935,0.451261625285015,0.111206002161924,0.888793997838076,0.111206002161924,0.888793997838076,0,0,0,0,-4.16282323406865,0.00283082916444915,-0.00283082916444915,0,0.00283082916444915,-0.0134378576809669,1.20660863245359e-10,-4.46070919581424,0.016268686845416,0,TRUE,"transition"
8,0.0609341285249038,0.0194766425966458,1.41426236017526,0.550863634502221,11.2968216872044,0.189695873891948,-0.0194254969729292,6.24347397451073,0.066032913580488,0.0805541954236739,0.558858947012387,0.453992259411186,0.108020132828082,0.891979867171918,0.108020132828082,0.891979867171918,0,0,0,0,-4.14181731525451,0.0028324687308752,-0.0028324687308752,0,0.0028324687308752,-0.00952322516552098,5.41345059057452e-10,-4.43681632328938,0.0123556938963962,0,TRUE,"transition"
9,0.0610141103861138,0.0194768955475314,1.4151515609647,0.550524652900194,11.3037679796498,0.185300294903298,-0.0225912462123925,6.24086336985262,0.0660513270387333,0.080294129123652,0.560768396953197,0.455783554572423,0.10596536424407,0.89403463575593,0.10596536424407,0.89403463575593,0,0,0,0,-4.12791140424474,0.00283287862248171,-0.00283287862248171,0,0.00283287862248171,-0.00670958805291112,2.09545376536613e-09,-4.42100749963105,0.00954246667539282,0,TRUE,"transition"
