"cohort","life_stage","policy","i","weight","choice","pension_class","formal","wage","solidarity_eligible","consumption_young","consumption_old","experienced_utility","baseline_utility","welfare_cev"
-1,"old_at_reform","Law 2381 pillars",0,0.000223648618482682,"informal","informal",FALSE,0.0982702368145369,TRUE,NA,0.177393902730137,-3.26365929791023,-8.22106346280976,0.851322688847445
-1,"old_at_reform","Law 2381 pillars",0.01,0.000530074028894635,"informal","informal",FALSE,0.10116179868178,TRUE,NA,0.180287745087243,-3.18539678659708,-7.87111378854188,0.827742885687787
-1,"old_at_reform","Law 2381 pillars",0.02,0.000625857596014926,"informal","informal",FALSE,0.104138443584366,TRUE,NA,0.183266737582182,-3.10804554812052,-7.53606057810428,0.804837076669614
-1,"old_at_reform","Law 2381 pillars",0.03,0.00073622950670148,"informal","informal",FALSE,0.107202675056107,TRUE,NA,0.186333385723229,-3.03163446073958,-7.21526972707863,0.782585996657434
-1,"old_at_reform","Law 2381 pillars",0.04,0.000862878406729994,"informal","informal",FALSE,0.110357070296282,TRUE,NA,0.189490268742224,-2.95619093147954,-6.90813412325213,0.760970931181439
-1,"old_at_reform","Law 2381 pillars",0.05,0.00100759191313581,"informal","informal",FALSE,0.113604282337214,TRUE,NA,0.192740041763858,-2.88174086308812,-6.61407249762825,0.739973700697533
-1,"old_at_reform","Law 2381 pillars",0.06,0.00117224512608808,"informal","informal",FALSE,0.116947042275625,TRUE,NA,0.19608543803879,-2.80830862588438,-6.33252832434703,0.719576645297265
-1,"old_at_reform","Law 2381 pillars",0.07,0.00135878545245099,"informal","informal",FALSE,0.120388161569651,TRUE,NA,0.199529271242471,-2.73591703452833,-6.06296876743297,0.699762609854809
-1,"old_at_reform","Law 2381 pillars",0.08,0.00156921348536889,"informal","informal",FALSE,0.123930534403444,TRUE,NA,0.20307443784161,-2.66458732971234,-5.80488367237711,0.680514929598482
-1,"old_at_reform","Law 2381 pillars",0.09,0.00180555975146526,"informal","informal",FALSE,0.127577140121352,TRUE,NA,0.206723919530275,-2.59433916474979,-5.55778460064497,0.661817416094697
-1,"old_at_reform","Law 2381 pillars",0.1,0.00206985722142662,"informal","informal",FALSE,0.13133104573372,TRUE,NA,0.210480785737674,-2.52519059701114,-5.32120390528296,0.643654343632534
-1,"old_at_reform","Law 2381 pillars",0.11,0.00236410958058029,"informal","informal",FALSE,0.135195408496429,TRUE,NA,0.214348196209723,-2.45715808413371,-5.09469384587389,0.626010435997488
-1,"old_at_reform","Law 2381 pillars",0.12,0.00269025537259384,"informal","informal",FALSE,0.139173478566336,TRUE,NA,0.218329403666581,-2.39025648490799,-4.87782574116657,0.608870853623277
-1,"old_at_reform","Law 2381 pillars",0.13,0.0030501282598838,"informal","informal",FALSE,0.143268601734844,TRUE,NA,0.222427756538378,-2.32449906472198,-4.67018915777577,0.592221181110887
-1,"old_at_reform","Law 2381 pillars",0.14,0.00344541378616971,"informal","informal",FALSE,0.147484222241911,TRUE,NA,0.226646701781444,-2.25989750542444,-4.4713911334172,0.576047415104374
-1,"old_at_reform","Law 2381 pillars",0.15,0.0038776031764757,"informal","informal",FALSE,0.151823885672859,TRUE,NA,0.2309897877774,-2.19646191944935,-4.28105543320733,0.560335952513217
-1,"old_at_reform","Law 2381 pillars",0.16,0.00434794486360459,"informal","informal",FALSE,0.156291241940422,TRUE,NA,0.235460667317557,-2.13420086802641,-4.09882183762071,0.545073579071315
-1,"old_at_reform","Law 2381 pillars",0.17,0.00485739458280167,"informal","informal",FALSE,0.160890048354533,TRUE,NA,0.240063100675131,-2.07312138328728,-3.92434546075702,0.530247458223014
-1,"old_at_reform","Law 2381 pillars",0.18,0.00540656502249209,"informal","informal",FALSE,0.16562417278245,TRUE,NA,0.24480095876785,-2.01322899406351,-3.75729609762789,0.515845120326804
