"cohort","capital","public_debt","output","debt_to_output","formal_labor","informal_labor","consumption_tax","interest_rate","formal_wage","informal_wage","consumption_young","consumption_old","informal_share","formal_share","solidarity_beneficiary_share","funded_only_share","payg_only_share","mixed_share","payg_contributions","payg_benefits","decision_welfare","primary_balance","primary_deficit","debt_identity_residual","rule_primary_balance","fiscal_adjustment","fiscal_rule_residual","experienced_welfare","budget_residual","reported","phase","payg_balance"
0,0.0293158462385595,0.0139511834503915,1.0146314217695,0.550000055234276,8.68560315093979,1.49887048180882,0.221369700548944,8.27156015235323,0.0547418800941462,0.100335520900096,0.390599286672786,0.263664762516409,0.531824957964062,0.468175042035938,0,0.433730500163709,0.034444541872229,0,0.0143400133688203,0.0502284531013992,-5.46629412590954,0.00202926304732967,-0.00202926304732967,0,0.00202926304732967,0,0,-5.97437001407112,0.00202949514906176,TRUE,"Law 100 benchmark",-0.0358884397325789
1,0.0293158462385595,0.0139511834503915,0.977185860780692,0.571075944109367,7.41365713617835,2.02660136441423,0.322671308458443,7.52188936216839,0.0583212338204224,0.108657447989861,0.378494216232422,0.230108374744697,0.653817227698335,0.346182772301665,0.126168852732127,0,0.208205245474658,0.137977526827007,0.0550508631870827,0.0502284577062766,-5.49715198203095,0.00492922932452723,-0.00492922932452723,0,0.00492922932452723,-0.0225845291776876,-2.3037127760972e-14,-6.08430531474934,0.0275137585022149,TRUE,"first reform cohort",0.00482240548080606
2,0.0205351729053843,0.012476609284633,0.826070385253506,0.604142673910486,5.88342869513875,2.60539787375839,0.395140103792479,8.10677617112967,0.0554812038252418,0.114610759526552,0.3580238725512,0.175205426913371,0.768523790137251,0.231476209862749,0.126168835451367,0,0.107436318392196,0.124039891470553,0.0399703030903422,0.0530897671060529,-5.58410845725819,0.00253977110160963,-0.00253977110160963,0,0.00253977110160964,0.0617462257162087,-6.94611035356729e-13,-6.18709107774066,-0.0592064546145991,TRUE,"transition",-0.0131194640157107
3,0.0216689289219309,0.0121079657431933,0.836169668810485,0.579210951787707,5.79062400413273,2.63872306311178,0.44509214578659,7.77502254139192,0.0570484119370709,0.118714319776368,0.356852404692962,0.163342075691234,0.774579322916812,0.225420677083188,0.126168939506108,0,0.0937291421790818,0.131691534904106,0.0395818139769812,0.0415614080989231,-5.59749796793322,0.00194240654588024,-0.00194240654588024,0,0.00194240654588024,0.0389824243945515,-1.00510155753852e-11,-6.20740197553781,-0.0370400178486713,TRUE,"transition",-0.0019795941219419
4,0.02273794075001,0.0120158048578334,0.847350102016629,0.567217957688881,5.76655659902909,2.64736311399391,0.479170897563976,7.53473809799053,0.0582549128014528,0.121513889234881,0.356492408907739,0.162033281008715,0.776138674171795,0.223861325828205,0.126168976668171,0,0.0862127113611628,0.137648614467043,0.0396653901223228,0.0412742879606377,-5.60517938813459,0.00179306540694789,-0.00179306540694789,0,0.00179306540694789,0.0263830231867995,-9.46009381941337e-11,-6.21968413197188,-0.0245899577798516,TRUE,"transition",-0.00160889783831486
5,0.0234851453956143,0.0119927646364934,0.854965840284041,0.56108742929468,5.75081742525144,2.65298762936467,0.502433708485657,7.37786492941995,0.0590777840830868,0.123424929152097,0.356249795023452,0.161378393741926,0.777150616329044,0.222849383670956,0.12616891080349,0,0.0811070520666465,0.14174233160431,0.039710586439479,0.0413658609594532,-5.61045256108031,0.0017557301222148,-0.0017557301222148,0,0.0017557301222148,0.0181025994984034,-6.55185905529265e-10,-6.22813835975621,-0.0163468693761886,TRUE,"transition",-0.00165527451997419
6,0.0240033153680418,0.0119870045811585,0.860144304048747,0.557441560665342,5.7400581226146,2.65682005613597,0.51837909330295,7.27370928698319,0.0596404215405212,0.124734842514837,0.356082943134537,0.160929753487699,0.777838168411365,0.222161831588635,0.126168844007023,0,0.0776069432286216,0.144554888360013,0.039733349837966,0.0414156981882705,-5.61409785678721,0.00174639630103153,-0.00174639630103153,0,0.00174639630103153,0.0124830092974886,-3.56597462669583e-09,-6.23398967210579,-0.0107366129964571,TRUE,"transition",-0.00168234835030452
7,0.02436134921837,0.0119855645673247,0.863669332006083,0.555099694902229,5.73249562808209,2.65953255715037,0.529359923314798,7.20367881308926,0.0600263270352325,0.125636917700311,0.355967231689802,0.160613683756956,0.778323212765151,0.221676787234849,0.126168843909347,0,0.0751870196722802,0.146489767562569,0.0397431431729106,0.0414417169940877,-5.61660934643914,0.00174406284573572,-0.00174406284573572,0,0.00174406284573571,0.00865051831275301,-1.58801621852334e-08,-6.23803442464395,-0.00690645546701729,TRUE,"transition",-0.00169857382117709
8,0.0246093371937088,0.0119852045638663,0.866083470637279,0.553535772021944,5.72715678249664,2.66144470244488,0.536953054649179,7.15603403049675,0.0602924685943209,0.12626069343943,0.355885959801501,0.160390827550848,0.77866325398282,0.22133674601718,0.126168840883036,0,0.0735098458225984,0.147826900194582,0.0397470752463112,0.0414548061957693,-5.61835987786651,0.00174347948191176,-0.00174347948191176,0,0.00174347948191176,0.00601803230580864,-5.94571902823304e-08,-6.24085413847604,-0.00427455282389688,TRUE,"transition",-0.00170773094945808
9,0.0247813996730435,0.0119851145630017,0.86774415388727,0.552472270049251,5.72337152833386,2.66279898975608,0.542220816114541,7.12335466600204,0.0604767278555699,0.12669344004381,0.355828865212125,0.160233766119403,0.778901932021138,0.221098067978862,0.126168837410064,0,0.0723441450447851,0.148753922934077,0.0397483521005283,0.0414612262528547,-5.61958158443056,0.00174333364095578,-0.00174333364095578,0,0.00174333364095577,0.00420072713737116,-1.90879778760866e-07,-6.24282206139677,-0.00245739349641538,TRUE,"transition",-0.00171287415232639
10,0.0249009177476971,0.0119850920627855,0.868889605108638,0.551742913821003,5.72067186258923,2.66376418048937,0.545884230019717,7.10081036052189,0.0606046649340904,0.12699438949612,0.355788772109132,0.160123320649408,0.779069626183365,0.220930373816635,0.126168834408366,0,0.0715321842441298,0.149398189572506,0.0397484802629412,0.0414643412883462,-5.62043434003843,0.00174329718071678,-0.00174329718071678,0,0.00174329718071678,0.00294165804512961,-5.3336786454139e-07,-6.24419549696773,-0.00119836086441283,TRUE,"transition",-0.00171586102540502
11,0.0249839349191787,0.0119850864377315,0.869680069085647,0.551241168506124,5.71873027144956,2.66445799832242,0.548436073761064,7.08520088140704,0.0606936447901163,0.127204023459471,0.355759929366151,0.160045859701399,0.779187711255519,0.220812288744481,0.126168832051534,0,0.070965724564106,0.149846564180375,0.03974812624813,0.041465811338843,-5.62103237071532,0.00174328806565702,-0.00174328806565702,0,0.00174328806565702,0.00206775735731061,-1.31275786807716e-06,-6.24515744878713,-0.000324469291653584,TRUE,"transition",-0.00171768509071306
12,0.0250420131627486,0.011985085031468,0.870231903879871,0.550891548702513,5.71737424550362,2.66494242238626,0.550214982944821,7.07433029701929,0.0607558044107915,0.127350160848917,0.355740263225164,0.159993663452969,0.779267739158184,0.220732260841816,0.126168830357506,0,0.0705723310999495,0.150159929741867,0.0397481442113413,0.041466434415146,-5.62144638785152,0.00174328578689209,-0.00174328578689209,0,0.00174328578689209,0.00145514055703366,-2.87418887634505e-06,-6.24582377996453,0.000288145229858427,TRUE,"transition",-0.00171829020380473
13,0.0250821645070039,0.0119850846799021,0.870610362124743,0.550652057512949,5.71637434373464,2.66529953972386,0.551454579159586,7.06679175528145,0.0607990044739383,0.12745199367796,0.355726347713911,0.159957716609935,0.779325306633578,0.220674693366422,0.126168829086417,0,0.0702969117710108,0.150377781595412,0.0397478085315952,0.0414670799862418,-5.62173284323883,0.00174328521720085,-0.00174328521720085,0,0.00174328521720085,0.0010302565780273,-5.6452876719959e-06,-6.24628391081465,0.000713028639173552,TRUE,"transition",-0.00171927145464659
14,0.0251097626865106,0.0119850845920106,0.870868099021771,0.550489085797182,5.71563312351775,2.66556422727809,0.552316509157199,7.0615810114165,0.0608289098723361,0.127522801227264,0.355716420429175,0.159932940692369,0.779367547347735,0.220632452652265,0.126168828130314,0,0.0701038302245019,0.150528622427763,0.039747187682618,0.0414672294698021,-5.62192927470335,0.00174328507477805,-0.00174328507477805,0,0.00174328507477805,0.000736381809641962,-1.00219280476654e-05,-6.2465982997959,0.00100690326513608,TRUE,"transition",-0.00172004178718412
15,0.0251285874735026,0.0119850845700377,0.871042267620079,0.55037901215904,5.71508925454111,2.66575842559034,0.552912997726572,7.05800348354437,0.060849463252247,0.127571802763238,0.355709276540717,0.159916099931066,0.77939918899076,0.22060081100924,0.126168827404877,0,0.0699685035563911,0.150632307452849,0.0397463517981095,0.0414670030122747,-5.62206221164309,0.00174328503917234,-0.00174328503917234,0,0.00174328503917234,0.000534312943259756,-1.6192296073303e-05,-6.24680981704054,0.00120897209591259,TRUE,"transition",-0.00172065121416519
16,0.025141315784401,0.0119850845645445,0.871159247855975,0.550305106398915,5.71470312441546,2.66589629972562,0.553322425372589,7.05557327627123,0.0608634350269568,0.127605437244358,0.35570410646189,0.159904872488223,0.779423216040915,0.220576783959085,0.126168826851478,0,0.0698739865107893,0.150702797448296,0.0397453947468995,0.0414665015313107,-5.62215069866406,0.00174328503027092,-0.00174328503027092,0,0.00174328503027092,0.000396520186772257,-2.39677573287134e-05,-6.24694941168305,0.00134676484349866,TRUE,"transition",-0.00172110678441121
17,0.0251498586011928,0.0119850845631712,0.871237846724239,0.550255460468521,5.71444687328209,2.66598780773105,0.553600110484486,7.05394542195916,0.0608727983916107,0.127628249076301,0.355700364950135,0.159897558531676,0.779441383886489,0.220558616113511,0.126168826433143,0,0.0698085757457812,0.15075004036773,0.0397444362980765,0.0414658326624434,-5.62220900406499,0.00174328502804556,-0.00174328502804556,0,0.00174328502804556,0.000303467903533153,-3.27161167800183e-05,-6.24704049934872,0.00143981712451241,TRUE,"transition",-0.00172139636436691
18,0.0251555966505753,0.0119850845628279,0.871291306097019,0.550221698711331,5.71429206251322,2.66604310710022,0.553785663316551,7.05286532071974,0.0608790130862959,0.127643492241455,0.355697978232633,0.15989283225816,0.779454900014617,0.220545099985383,0.126168826122669,0,0.0697637019570619,0.150781398028321,0.0397435770534289,0.0414651171984571,-5.62223863068026,0.00174328502748922,-0.00174328502748922,0,0.00174328502748922,0.00024112690385942,-4.14614122543622e-05,-6.24708435766719,0.0015021581236298,TRUE,"transition",-0.00172154014502822
19,0.0251592512523864,0.0119850845627421,0.871330941213659,0.550196670213423,5.71433615660186,2.66602742385521,0.553907839877649,7.05228325953164,0.060882362812142,0.127653529045949,0.355686032236363,0.159891136374971,0.779459652415327,0.220540347584673,0.1261688260115,0,0.0697420472145582,0.150798300370115,0.0397434988714525,0.0414644543802902,-5.6226097249214,0.00174328502735014,-0.00174328502735014,0,0.00174328502735014,0.000202511603126211,-4.91314393393782e-05,-6.2477243299299,0.00154077342422393,TRUE,"transition",-0.00172095550883763
20,0.0251843525289139,0.0119850845627206,0.871642339315365,0.550000110005411,5.71542754862997,2.66573979404205,0.554356511555153,7.04887264979545,0.0609019999227651,0.127690387424256,0.355707687955713,0.159836331048701,0.779480600907122,0.220519399092878,0.12611817547607,0,0.0696770961643886,0.150842302928489,0.0397439458672035,0.0414644210997788,-5.6224439372493,0.00174328502730378,-0.00174328502730378,0,0.00174328502730378,0,0,-6.2474337572109,0.00174347576168365,TRUE,"pillar steady state",-0.00172047523257532
